word, answers over 6, word value(idk), percent, avarage guesses
remap,328,70.03165006637573,0.943025881535522,4.5231891610213655
folic,328,44.8606116771698,0.943025881535522,4.498176133402814
lamps,329,38.33793568611145,0.9428521799548376,4.494528400208442
stamp,329,63.238139390945435,0.9428521799548376,4.518672919923572
coped,329,42.764891386032104,0.9428521799548376,4.457529963522668
blink,329,52.828181743621826,0.9428521799548376,4.513114469341671
damps,329,40.86312794685364,0.9428521799548376,4.515546291471252
finch,329,53.242732524871826,0.9428521799548376,4.527705402119159
grump,329,57.571223974227905,0.9428521799548376,4.578599965259684
toper,329,42.01879620552063,0.9428521799548376,4.425742574257426
doper,329,54.90273594856262,0.9428521799548376,4.467083550460309
plumy,329,55.674171447753906,0.9428521799548376,4.560187597707139
porch,330,50.54852271080017,0.9426784783741532,4.5037345839847145
motel,330,44.18858075141907,0.9426784783741532,4.416015285739101
pared,330,40.28847670555115,0.9426784783741532,4.453882230328296
frump,330,57.08814311027527,0.9426784783741532,4.591280180649644
plash,330,63.923643350601196,0.9426784783741532,4.546465172833073
wimpy,330,56.64239263534546,0.9426784783741532,4.588848358520062
birch,331,48.71856212615967,0.9425047767934688,4.525794684731631
bitch,331,54.77188420295715,0.9425047767934688,4.54160152857391
raped,331,42.56619119644165,0.9425047767934688,4.475594927913844
primp,331,62.91101288795471,0.9425047767934688,4.591453882230328
scrim,331,60.75248336791992,0.9425047767934688,4.497481327080076
plied,332,43.060720443725586,0.9423310752127845,4.4445023449713394
caper,332,43.57240629196167,0.9423310752127845,4.463262115685253
baled,332,44.923882246017456,0.9423310752127845,4.498176133402814
flume,332,73.33612632751465,0.9423310752127845,4.59666492965086
motif,332,49.05256748199463,0.9423310752127845,4.512072259857565
piton,332,50.252691984176636,0.9423310752127845,4.403682473510509
cable,333,53.30811166763306,0.9421573736321001,4.501823866597186
woman,333,55.98618412017822,0.9421573736321001,4.531526836894216
notch,333,47.267054080963135,0.9421573736321001,4.479416362688901
imply,333,61.77436447143555,0.9421573736321001,4.583637311099531
pined,333,41.32794260978699,0.9421573736321001,4.428521799548376
mince,333,55.34169292449951,0.9421573736321001,4.446239360778183
tempi,333,64.73859310150146,0.9421573736321001,4.504603091888137
bronc,333,55.8943989276886,0.9421573736321001,4.478547854785479
macho,333,53.53563618659973,0.9421573736321001,4.55706096925482
spina,333,62.03509187698364,0.9421573736321001,4.447628973423658
limby,333,49.511478900909424,0.9421573736321001,4.567656765676568
bloom,334,59.83605432510376,0.9419836720514156,4.626194198367205
birth,334,46.86227536201477,0.9419836720514156,4.4735105089456315
palms,334,39.05218768119812,0.9419836720514156,4.469515372589891
latch,334,48.611146211624146,0.9419836720514156,4.478026750043425
nomad,334,52.66459798812866,0.9419836720514156,4.473336807364947
lumen,334,47.84315085411072,0.9419836720514156,4.507729720340455
sprit,334,56.11262035369873,0.9419836720514156,4.440680910196283
coper,334,44.4791100025177,0.9419836720514156,4.469167969428522
biome,334,58.61734127998352,0.9419836720514156,4.504429390307452
watch,335,53.01961922645569,0.9418099704707313,4.560535000868508
spoil,335,62.48530173301697,0.9418099704707313,4.465867639395518
belch,335,64.29816031455994,0.9418099704707313,4.5468125759944416
slime,335,61.76655459403992,0.9418099704707313,4.470383880493313
gaped,335,48.19715428352356,0.9418099704707313,4.5351745700885875
prink,335,50.50708270072937,0.9418099704707313,4.465172833072781
maced,335,46.888644218444824,0.9418099704707313,4.493138787562967
strip,336,56.97835445404053,0.9416362688900469,4.465520236234149
crisp,336,64.72785258293152,0.9416362688900469,4.477331943720688
tidal,336,55.68398571014404,0.9416362688900469,4.449018586069133
pored,336,40.79867911338806,0.9416362688900469,4.4594406809101965
prone,336,57.547139167785645,0.9416362688900469,4.410109431995831
pinto,336,47.68105125427246,0.9416362688900469,4.400034740316137
oomph,336,58.068546295166016,0.9416362688900469,4.662497828730242
winch,336,53.46732187271118,0.9416362688900469,4.536564182734063
mocha,336,67.37807607650757,0.9416362688900469,4.54438075386486
pismo,336,70.61852693557739,0.9416362688900469,4.515198888309883
adopt,337,60.68850374221802,0.9414625673093625,4.472815702622894
scrap,337,60.41079092025757,0.9414625673093625,4.490533263852701
phony,337,52.53973150253296,0.9414625673093625,4.5297898210873715
amply,337,66.9718930721283,0.9414625673093625,4.584505819002953
wimps,337,44.89653968811035,0.9414625673093625,4.565746048289039
lapin,337,50.141366958618164,0.9414625673093625,4.441723119680389
aitch,337,60.707051515579224,0.9414625673093625,4.483064095883273
thwap,337,64.40166020393372,0.9414625673093625,4.585374326906375
blunt,338,52.27302384376526,0.9412888657286781,4.49800243182213
drops,338,40.811840534210205,0.9412888657286781,4.474031613687685
peril,338,59.50357985496521,0.9412888657286781,4.4445023449713394
pecan,338,63.54870915412903,0.9412888657286781,4.4594406809101965
plebe,338,61.78659629821777,0.9412888657286781,4.6246308841410455
capon,338,49.25563669204712,0.9412888657286781,4.455098141393087
spume,338,71.17220425605774,0.9412888657286781,4.592496091714435
rhumb,338,57.15398073196411,0.9412888657286781,4.627931214174049
pluck,339,55.046281814575195,0.9411151641479938,4.576689247872156
scope,339,65.089120388031,0.9411151641479938,4.500607955532395
paler,339,43.86637210845947,0.9411151641479938,4.461351398297724
plunk,339,52.84524989128113,0.9411151641479938,4.559666492965086
impro,339,64.12458610534668,0.9411151641479938,4.531526836894216
flock,340,56.166372537612915,0.9409414625673094,4.58120548896995
balmy,340,46.42820358276367,0.9409414625673094,4.55150251867292
aphid,340,62.841681241989136,0.9409414625673094,4.558971686642349
mowed,340,47.058510303497314,0.9409414625673094,4.544554455445544
